model,id,title,authors
book.bookmodel,1,Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling/Mary GrandPré
book.bookmodel,2,Harry Potter and the Order of the Phoenix (Harry Potter  #5),J.K. Rowling/Mary GrandPré
book.bookmodel,3,Harry Potter and the Chamber of Secrets (Harry Potter  #2),J.K. Rowling
book.bookmodel,4,Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),J.K. Rowling/Mary GrandPré
book.bookmodel,5,Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5),J.K. Rowling/Mary GrandPré
book.bookmodel,6,"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",W. Frederick Zimmerman
book.bookmodel,7,Harry Potter Collection (Harry Potter  #1-6),J.K. Rowling
book.bookmodel,8,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams
book.bookmodel,9,The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams
book.bookmodel,10,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams
book.bookmodel,11,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams/Stephen Fry
book.bookmodel,12,The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams
book.bookmodel,13,A Short History of Nearly Everything,Bill Bryson
book.bookmodel,14,Bill Bryson's African Diary,Bill Bryson
book.bookmodel,15,Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,Bill Bryson
book.bookmodel,16,In a Sunburned Country,Bill Bryson
book.bookmodel,17,I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,Bill Bryson
book.bookmodel,18,The Lost Continent: Travels in Small Town America,Bill Bryson
book.bookmodel,19,Neither Here nor There: Travels in Europe,Bill Bryson
book.bookmodel,20,Notes from a Small Island,Bill Bryson
book.bookmodel,21,The Mother Tongue: English and How It Got That Way,Bill Bryson
book.bookmodel,22,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien
book.bookmodel,23,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien
book.bookmodel,24,The Fellowship of the Ring (The Lord of the Rings  #1),J.R.R. Tolkien
book.bookmodel,25,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien/Alan  Lee
book.bookmodel,26,The Lord of the Rings: Weapons and Warfare,Chris   Smith/Christopher  Lee/Richard Taylor
book.bookmodel,27,The Lord of the Rings: Complete Visual Companion,Jude Fisher
book.bookmodel,28,Agile Web Development with Rails: A Pragmatic Guide,Dave Thomas/David Heinemeier Hansson/Leon Breedt/Mike Clark/Thomas  Fuchs/Andreas  Schwarz
book.bookmodel,29,Hatchet (Brian's Saga  #1),Gary Paulsen
book.bookmodel,30,"Hatchet: A Guide for Using ""Hatchet"" in the Classroom",Donna Ickes/Edward Sciranko/Keith Vasconcelles
book.bookmodel,31,Guts: The True Stories behind Hatchet and the Brian Books,Gary Paulsen
book.bookmodel,32,Molly Hatchet - 5 of the Best,Molly Hatchet
book.bookmodel,33,Hatchet Jobs: Writings on Contemporary Fiction,Dale Peck
book.bookmodel,34,A Changeling for All Seasons (Changeling Seasons #1),Angela Knight/Sahara Kelly/Judy Mays/Marteeka Karland/Kate Douglas/Shelby Morgen/Lacey Savage/Kate Hill/Willa Okati
book.bookmodel,35,Changeling (Changeling  #1),Delia Sherman
book.bookmodel,36,The Changeling Sea,Patricia A. McKillip
book.bookmodel,37,The Changeling,Zilpha Keatley Snyder
book.bookmodel,38,The Changeling,Kate Horsley
book.bookmodel,39,The Changeling (Daughters of England  #15),Philippa Carr
book.bookmodel,40,The Known World,Edward P. Jones
book.bookmodel,41,The Known World,Edward P. Jones/Kevin R. Free
book.bookmodel,42,The Known World,Edward P. Jones
book.bookmodel,43,Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives,Satyajit Das
book.bookmodel,44,Artesia: Adventures in the Known World,Mark Smylie
book.bookmodel,45,The John McPhee Reader (John McPhee Reader  #1),John McPhee/William Howarth
book.bookmodel,46,Uncommon Carriers,John McPhee
book.bookmodel,47,Heirs of General Practice,John McPhee
book.bookmodel,48,The Control of Nature,John McPhee
book.bookmodel,49,Annals of the Former World,John McPhee
book.bookmodel,50,Coming Into the Country,John McPhee
book.bookmodel,51,La Place de la Concorde Suisse,John McPhee
book.bookmodel,52,Giving Good Weight,John McPhee
book.bookmodel,53,Rising from the Plains,John McPhee
book.bookmodel,54,The Heidi Chronicles,Wendy Wasserstein
book.bookmodel,55,The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic,Wendy Wasserstein
book.bookmodel,56,Active Literacy Across the Curriculum: Strategies for Reading  Writing  Speaking  and Listening,Heidi Hayes Jacobs
book.bookmodel,57,Simply Beautiful Beaded Jewelry,Heidi Boyd
book.bookmodel,58,Always Enough: God's Miraculous Provision Among the Poorest Children on Earth,Heidi Baker/Rolland Baker
book.bookmodel,59,Mapping the Big Picture: Integrating Curriculum & Assessment K-12,Heidi Hayes Jacobs
book.bookmodel,60,Heidi (Heidi  #1-2),Johanna Spyri/Beverly Cleary/Angelo  Rinaldi
book.bookmodel,61,Getting Results with Curriculum Mapping,Heidi Hayes Jacobs
book.bookmodel,62,There's Always Enough: The Miraculous Move of God in Mozambique,Rolland Baker/Heidi Baker
book.bookmodel,63,What to Expect the First Year (What to Expect),Heidi Murkoff/Sharon Mazel/Arlene Eisenberg/Sandee Hathaway/Mark D. Widome
book.bookmodel,64,The Player's Handbook: The Ultimate Guide on Dating and Relationships,Heidi Fleiss/Libby Keatinge
book.bookmodel,65,Simply Beautiful Beading: 53 Quick and Easy Projects,Heidi Boyd
book.bookmodel,66,God Emperor of Dune (Dune Chronicles  #4),Frank Herbert
book.bookmodel,67,Chapterhouse: Dune (Dune Chronicles #6),Frank Herbert
book.bookmodel,68,Dune Messiah (Dune Chronicles #2),Frank Herbert
book.bookmodel,69,Dreamer of Dune: The Biography of Frank Herbert,Brian Herbert
book.bookmodel,70,Heretics of Dune (Dune Chronicles  #5),Frank Herbert
book.bookmodel,71,The Road to Dune,Frank Herbert/Brian Herbert/Kevin J. Anderson
book.bookmodel,72,Heretics of Dune (Dune Chronicles #5),Frank Herbert
book.bookmodel,73,The Lord of the Rings: The Art of the Fellowship of the Ring,Gary Russell
book.bookmodel,74,The Power of One (The Power of One  #1),Bryce Courtenay
book.bookmodel,75,The Power of One (The Power of One  #1),Bryce Courtenay
book.bookmodel,76,The Power of One: One Person  One Rule  One Month,John C. Maxwell/Stephen R. Graves/Thomas G. Addington
book.bookmodel,77,Power of an Hour: Business and Life Mastery in One Hour a Week,Dave Lakhani
book.bookmodel,78,The Power of One: The Solo Play for Playwrights  Actors  and Directors,Louis E. Catron
book.bookmodel,79,How to Buy  Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days,Adam Ginsberg
book.bookmodel,80,eBay for Dummies,Marsha Collier
book.bookmodel,81,What to Sell on ebay and Where to Get It: The Definitive Guide to Product Sourcing for eBay and Beyond,Chris Malta/Lisa Suttora
book.bookmodel,82,Starting an eBay Business for Dummies,Marsha Collier
book.bookmodel,83,eBay: Top 100 Simplified Tips & Tricks,Julia Wilkinson
book.bookmodel,84,ebay Timesaving Techniques for Dummies,Marsha Collier
book.bookmodel,85,eBay Business All-in-One Desk Reference for Dummies,Marsha Collier
book.bookmodel,86,Ruby Cookbook,Lucas Carlson/Leonard Richardson
book.bookmodel,87,Ruby Ann's Down Home Trailer Park Cookbook,Ruby Ann Boxcar
book.bookmodel,88,Ruby Ann's Down Home Trailer Park BBQin' Cookbook,Ruby Ann Boxcar
book.bookmodel,89,Rails Cookbook: Recipes for Rapid Web Development with Ruby,Rob Orsini
book.bookmodel,90,Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky
book.bookmodel,91,Anna Karenina,Leo Tolstoy/David Magarshack/Priscilla Meyer
book.bookmodel,92,Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky/John Bayley
book.bookmodel,93,CliffsNotes on Tolstoy's Anna Karenina,Marianne Sturman/Leo Tolstoy
book.bookmodel,94,Anna Karenina,Leo Tolstoy/Amy Mandelker/Constance Garnett
book.bookmodel,95,Anna Karenina,Leo Tolstoy/Louise Maude/Aylmer Maude
book.bookmodel,96,Anna Karenina,Leo Tolstoy/Constance Garnett/Amy Mandelker
book.bookmodel,97,Dinner with Anna Karenina,Gloria Goldreich
book.bookmodel,98,Tolstoy: Anna Karenina,Anthony Thorlby
book.bookmodel,99,Untouchable,Mulk Raj Anand/E.M. Forster
book.bookmodel,100,The Untouchable,John Banville
book.bookmodel,101,The Untouchables,Eliot Ness/Oscar Fraley
book.bookmodel,102,Untouchables: My Family's Triumphant Journey Out of the Caste System in Modern India,Narendra Jadhav
book.bookmodel,103,Dalit: The Black Untaouchables of India,V.T. Rajshekar/Y.N. Kly
book.bookmodel,104,Growing Up Untouchable in India: A Dalit Autobiography,Vasant Moon/Gail Omvedt/Eleanor Zelliot
book.bookmodel,105,The Evidence-Based Social Work Skills Book,Barry R. Cournoyer
book.bookmodel,106,"A Wrinkle in Time: A Guide for Using ""A Wrinkle in Time"" in the Classroom",John Carratello/Patty Carratello/Theresa Wright
book.bookmodel,107,Wrinkles in Time,George Smoot/Keay Davidson
book.bookmodel,108,A Wrinkle in Time: With Related Readings (A Wrinkle in Time Quintet #1),Madeleine L'Engle
book.bookmodel,109,Literature Circle Guide: A Wrinkle in Time,Tara MacCarthy
book.bookmodel,110,Una arruga en el tiempo – A Wrinkle in Time,Madeleine L'Engle
book.bookmodel,111,The Long Shadow (The Morland Dynasty  #6),Cynthia Harrod-Eagles
book.bookmodel,112,A Long Shadow (Inspector Ian Rutledge  #8),Charles Todd
book.bookmodel,113,Long Way Round: Chasing Shadows Across the World,Ewan McGregor/Charley Boorman/Robert Uhlig
book.bookmodel,114,A Shadow in Summer (Long Price Quartet  #1),Daniel Abraham
book.bookmodel,115,New Hope for the Dead (Hoke Mosely #2),Charles Willeford/James Lee Burke
book.bookmodel,116,Sideswipe: A Hoke Moseley Novel,Charles Willeford/Lawrence Block
book.bookmodel,117,Miami Blues (Hoke Moseley #1),Charles Willeford/Elmore Leonard
book.bookmodel,118,The Burnt Orange Heresy (Vintage Crime/Black Lizard),Charles Willeford
book.bookmodel,119,I am Charlotte Simmons,Tom Wolfe
book.bookmodel,120,Poetry for Young People: Edward Lear,Edward Lear/Laura Huliska-Beith/Edward Mendelson
book.bookmodel,121,The Puffin Book of Nonsense Verse,Quentin Blake
book.bookmodel,122,Henry Miller on Writing,Henry Miller/Thomas H. Moore
book.bookmodel,123,Quiet Days in Clichy,Henry Miller
book.bookmodel,124,Tropic of Cancer,Henry Miller/Jiří Níl
book.bookmodel,125,Tropic of Capricorn,Henry Miller
book.bookmodel,126,Nexus (The Rosy Crucifixion  #3),Henry Miller
book.bookmodel,127,Sexus (The Rosy Crucifixion  #1),Henry Miller
book.bookmodel,128,The Air-Conditioned Nightmare,Henry Miller
book.bookmodel,129,The Portrait of a Lady,Henry James/Patricia Crick
book.bookmodel,130,The Portrait of a Lady,Henry James/Gabriel Brownstein/Mary Cregan
book.bookmodel,131,Writing,Marguerite Duras
book.bookmodel,132,The War,Marguerite Duras/Barbara Bray
book.bookmodel,133,The Ravishing of Lol Stein,Marguerite Duras/Richard Seever
book.bookmodel,134,Love Letters,Kahlil Gibran/Suheil Bushrui/Salma H. Al-Kuzbari
book.bookmodel,135,Kahlil Gibran: His Life and World,Jean Gibran/جبران خليل جبران/Kahlil Gibran
book.bookmodel,136,The Beloved: Reflections on the Path of the Heart,Kahlil Gibran/John Walbridge/Robin Waterfield
book.bookmodel,137,Jesus the Son of Man,Kahlil Gibran/جبران خليل جبران
book.bookmodel,138,The Broken Wings,Kahlil Gibran/جبران خليل جبران/Anthony Rizcallah Ferris
book.bookmodel,139,Sand and Foam,Kahlil Gibran/جبران خليل جبران
book.bookmodel,140,Treasure Island,Robert Louis Stevenson
book.bookmodel,141,Treasure Island,Robert Louis Stevenson/Scott McKowen
book.bookmodel,142,Treasure Island,Robert Louis Stevenson
book.bookmodel,143,Treasure Island,Robert Louis Stevenson/N.C. Wyeth/Timothy Meis
book.bookmodel,144,Treasure Island,Robert Louis Stevenson/Milo Winter
book.bookmodel,145,Treasure Island (Great Illustrated Classics),Deidre S. Laiken/A.J. McAllister/Robert Louis Stevenson
book.bookmodel,146,100 Years of Lynchings,Ralph Ginzburg
book.bookmodel,147,Cien años de soledad,Gabriel García Márquez
book.bookmodel,148,On Beyond Zebra!,Dr. Seuss
book.bookmodel,149,The Wedding Clause,Debbie Raleigh
book.bookmodel,150,The Zebra Wall,Kevin Henkes
book.bookmodel,151,El perfume: Historia de un asesino,Patrick Süskind
book.bookmodel,152,The Door Into Summer,Robert A. Heinlein
book.bookmodel,153,Stranger in a Strange Land,Robert A. Heinlein
book.bookmodel,154,To Sail Beyond the Sunset,Robert A. Heinlein
book.bookmodel,155,Job: A Comedy of Justice,Robert A. Heinlein
book.bookmodel,156,Time for the Stars (Heinlein's Juveniles  #10),Robert A. Heinlein
book.bookmodel,157,The Long Dark Tea-Time of the Soul (Dirk Gently  #2),Douglas Adams
book.bookmodel,158,The Salmon of Doubt (Dirk Gently  #3),Douglas Adams
book.bookmodel,159,Wish You Were Here: The Official Biography of Douglas Adams,Nick  Webb
book.bookmodel,160,Douglas Adams's Starship Titanic,Terry Jones
book.bookmodel,161,Salmon of Doubt: Hitchhiking the Galaxy One Last Time,Douglas Adams/Christopher Cerf
book.bookmodel,162,The Phantom Tollbooth: A Children's Play in Two Acts,Susan Nanus/Norton Juster
book.bookmodel,163,On Bullshit,Harry G. Frankfurt
book.bookmodel,164,Another Bullshit Night in Suck City,Nick Flynn
book.bookmodel,165,Lincoln at Gettysburg: The Words That Remade America,Garry Wills
book.bookmodel,166,The Gettysburg Address,Abraham Lincoln/Michael McCurdy
book.bookmodel,167,Underworld,Don DeLillo
book.bookmodel,168,Libra,Don DeLillo
book.bookmodel,169,Americana,Don DeLillo
book.bookmodel,170,Running Dog,Don DeLillo
book.bookmodel,171,Cosmopolis,Don DeLillo
book.bookmodel,172,Great Jones Street,Don DeLillo
book.bookmodel,173,The Names,Don DeLillo
book.bookmodel,174,Against the Day,Thomas Pynchon
book.bookmodel,175,V.,Thomas Pynchon
book.bookmodel,176,The Crying of Lot 49,Thomas Pynchon
book.bookmodel,177,Gravity's Rainbow,Thomas Pynchon
book.bookmodel,178,Mason & Dixon,Thomas Pynchon/Christophe Claro/Brice Matthieussent
book.bookmodel,179,Vineland,Thomas Pynchon
book.bookmodel,180,Gravity's Rainbow,Thomas Pynchon
book.bookmodel,181,Slow Learner: Early Stories,Thomas Pynchon
